,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,5929,177,5902,27,64,0,4769,1096,197776,2997.84,554.75,32.36,28
02,02 - Saguenay-Lac-Saint-Jean,12918,178,12689,229,277,0,11804,837,278602,4636.72,300.83,99.42,48
03,03 - Capitale-Nationale,41582,521,41211,371,1142,0,36392,4048,758366,5483.10,532.87,150.59,209
04,04 - Mauricie et Centre-du-Québec,24288,550,24047,241,587,3,20198,3503,526357.5,4614.35,664.67,111.52,230
05,05 - Estrie,27334,299,26808,526,394,0,23292,3648,499619.5,5470.96,727.13,78.86,391
06,06 - Montréal,187604,2386,184559,3045,4882,2,161811,20911,2056759,9121.34,1023.21,237.36,1321
07,07 - Outaouais,17057,181,16613,444,223,0,15257,1577,403199,4230.42,389.37,55.31,153
08,08 - Abitibi-Témiscamingue,2205,68,2172,33,15,0,1616,574,147844,1491.44,388.39,10.15,25
09,09 - Côte-Nord,1104,24,1079,25,5,0,886,213,90289.5,1222.73,236.54,5.54,18
10,10 - Nord-du-Québec,158,1,156,2,0,0,140,18,13423.5,1177.04,134.56,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2554,30,2529,25,48,0,2352,154,90727,2815.04,169.68,52.91,6
12,12 - Chaudière-Appalaches,30568,244,30297,271,391,2,26670,3507,433504,7051.38,807.64,90.20,272
13,13 - Laval,44417,616,42450,1967,947,2,40070,3400,443929,10005.43,763.68,213.32,297
14,14 - Lanaudière,35794,649,35083,711,541,1,30579,4674,527366.5,6787.31,881.28,102.59,310
15,15 - Laurentides,33001,277,32393,608,534,0,29582,2885,635711,5191.20,450.90,84.00,353
16,16 - Montérégie,77125,1996,75211,1914,1618,0,64680,10827,1445165.5,5336.76,746.21,111.96,768
17,17 - Nunavik,1097,4,1093,4,3,0,1057,37,14493,7569.17,252.99,20.70,1
18,18 - Terres-Cries-de-la-Baie-James,163,1,163,0,5,0,146,12,18505,880.84,64.30,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1535,29,1527,8,1,0,1387,147,.,.,.,.,10
999,Ensemble du Québec,546437,8231,535985,10452,11677,10,472692,62068,8581637,6367.51,722.67,136.07,4440

