Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;13;242;220,3;5397;4913,4;0;;0;
5-9 ans;29;427;396,9;7356;6837,7;0;;0;
10-19 ans;19;460;231,3;16202;8145,2;0;;0;
20-29 ans;16;565;173,5;25439;7813,5;0;;< 5;n.p.
30-39 ans;39;543;165,4;22435;6835,5;0;;7;n.p.
40-49 ans;27;436;157,1;21199;7636,7;0;;24;* 8,6
50-59 ans;12;264;102,9;17080;6658,9;< 5;n.p.;107;41,7
60-69 ans;8;147;68;10343;4781;< 5;n.p.;334;154,4
70-79 ans;5;111;76,8;6723;4652,3;< 5;n.p.;841;582
80 ans et +;< 5;90;89,5;12120;12048,8;12;* 11,9;3481;3460,5
Manquant;< 5;< 5;;96;;0;;0;
Total;170;3287;159,1;144390;6990;16;* 0,8;4797;232,2
