RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,173,0,0,2,175,,,,
02 - Saguenay–Lac-Saint-Jean,122,0,2,2,126,,,,
03 - Capitale-Nationale,649,4,12,39,704,,,,
04 - Mauricie et Centre-du-Québec,116,0,1,39,156,,,,
05 - Estrie,99,0,17,19,135,,,,
06 - Montréal,3353,137,258,365,4113,,,,
07 - Outaouais,493,16,35,33,577,,,,
08 - Abitibi-Témiscamingue,0,177,0,1,178,,,,
09 - Côte-Nord,11,0,0,0,11,,,,
10 - Nord-du-Québec,0,1,0,1,2,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,3,11,,,,
12 - Chaudière-Appalaches,563,2,14,8,587,,,,
13 - Laval,444,13,20,82,559,,,,
14 - Lanaudière,305,33,13,35,386,,,,
15 - Laurentides,503,31,54,59,647,,,,
16 - Montérégie,371,25,141,161,698,,,,
Inconnu,0,1,0,3,4,,,,
Hors Québec,50,9,4,51,114,,,,
Ensemble du Québec,7260,449,571,903,9183,,,,
