,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,3946,1,3920,26,51,0,3877,18,196934.5,2003.71,9.15,25.90
02,02 - Saguenay-Lac-Saint-Jean,11001,1,10780,221,270,0,10718,13,277505,3964.25,4.69,97.30
03,03 - Capitale-Nationale,32735,8,32383,352,1113,0,31566,56,757803,4319.72,7.37,146.87
04,04 - Mauricie et Centre-du-Québec,15162,4,14923,239,522,2,14606,34,523331.5,2897.21,6.48,99.75
05,05 - Estrie,14870,6,14352,518,351,0,14449,70,494966.5,3004.24,14.09,70.91
06,06 - Montréal,132246,36,129325,2921,4757,0,126909,580,2072060.5,6382.34,27.91,229.58
07,07 - Outaouais,12415,12,11968,447,214,0,12123,78,402744,3082.60,19.29,53.14
08,08 - Abitibi-Témiscamingue,1143,2,1110,33,9,0,1123,11,147637,774.20,7.45,6.10
09,09 - Côte-Nord,572,0,553,19,3,0,569,0,89700.5,637.68,0.00,3.34
10,10 - Nord-du-Québec,109,0,107,2,0,0,109,0,13521.5,806.12,0.00,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,2055,2,2035,20,45,0,1989,21,89823,2287.83,23.42,50.10
12,12 - Chaudière-Appalaches,19234,7,18953,281,357,0,18768,109,431109.5,4461.51,25.24,82.81
13,13 - Laval,31464,14,29650,1814,911,0,30430,123,444658.5,7075.99,27.54,204.88
14,14 - Lanaudière,23953,7,23242,711,516,0,23329,108,522367,4585.47,20.59,98.78
15,15 - Laurentides,20926,8,20322,604,506,0,20363,57,630238,3320.33,9.00,80.29
16,16 - Montérégie,51200,17,49247,1953,1552,0,49429,219,1438226,3559.94,15.17,107.91
17,17 - Nunavik,47,0,45,2,0,0,47,0,14336.5,327.83,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,4,1,3,1,0,0,4,0,.,.,.,.
99,Hors Québec,457,1,452,5,0,0,449,8,.,.,.,.
999,Ensemble du Québec,373658,127,363489,10169,11180,2,360973,1505,8565469.5,4362.38,17.52,130.52

