Régions sociosanitaires;2021-06-13;2021-06-14;2021-06-15;2021-06-16;2021-06-17;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;1;-1;2;0;1;3 946
02 - Saguenay – Lac-Saint-Jean;0;0;1;1;1;11 001
03 - Capitale-Nationale;7;7;9;7;8;32 735
04 - Mauricie-et-Centre-du-Québec;1;1;6;-5;4;15 162
05 - Estrie;4;2;3;20;6;14 870
06 - Montréal;48;26;46;55;36;132 246
07 - Outaouais;5;12;9;9;12;12 415
08 - Abitibi-Témiscamingue;1;2;-1;2;2;1 143
09 - Côte-Nord;0;0;0;0;0;572
10 - Nord-du-Québec;0;0;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;2;0;1;0;2;2 055
12 - Chaudière-Appalaches;9;8;6;17;7;19 234
13 - Laval;14;4;23;13;14;31 464
14 - Lanaudière;9;17;6;14;7;23 953
15 - Laurentides;5;6;11;8;8;20 926
16 - Montérégie;14;19;30;20;17;51 200
17 - Nunavik;0;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;119
Hors Québec;3;2;1;0;1;457
Région à déterminer;0;0;0;0;1;4
Total;123;105;153;161;127;373 658
