No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,59,5,18,0,98,0.7 %
02,02 - Saguenay-Lac-Saint-Jean,0,100,118,7,103,9,337,2.4 %
03,03 - Capitale-Nationale,5,586,302,37,408,31,1369,9.8 %
04,04 - Mauricie et Centre-du-Québec,5,157,544,22,114,5,847,6.1 %
05,05 - Estrie,3,148,194,24,153,14,536,3.9 %
06,06 - Montréal,215,2801,1284,154,768,79,5301,38.1 %
07,07 - Outaouais,11,93,103,15,61,3,286,2.1 %
08,08 - Abitibi-Témiscamingue,3,13,36,2,6,0,60,0.4 %
09,09 - Côte-Nord,0,0,25,0,1,0,26,0.2 %
10,10 - Nord-du-Québec,0,0,2,0,0,0,2,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,26,0,13,0,54,0.4 %
12,12 - Chaudière-Appalaches,5,141,204,10,159,6,525,3.8 %
13,13 - Laval,4,528,242,57,199,7,1037,7.5 %
14,14 - Lanaudière,3,310,221,21,154,5,714,5.1 %
15,15 - Laurentides,63,230,218,65,102,13,691,5.0 %
16,16 - Montérégie,16,686,671,69,544,10,1996,14.4 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,11,0,0,1,12,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),336,5821,4272,488,2803,183,13903,
9999,Ensemble du Québec (%),2.4 %,41.9 %,30.7 %,3.5 %,20.2 %,1.3 %,.,100.0 %

