,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,10653,82,10615,38,66,0,8833,1754,197738.33333,5387.42,887.37,33.38,331
02,02 - Saguenay-Lac-Saint-Jean,19238,175,18930,308,288,2,15967,2983,278600,6905.24,1070.73,103.37,352
03,03 - Capitale-Nationale,58233,748,57870,363,1176,2,48986,8071,761103.66667,7651.13,1052.86,154.51,871
04,04 - Mauricie et Centre-du-Québec,38528,463,38288,240,638,3,31970,5920,527666.66667,7301.58,1116.38,120.91,305
05,05 - Estrie,35133,352,34608,525,443,1,30944,3746,502406,6992.95,737.43,88.18,328
06,06 - Montréal,249706,2347,246480,3226,4973,14,220862,23871,2061667.3333,12111.85,1152.36,241.21,4014
07,07 - Outaouais,30339,218,29897,442,224,0,25481,4634,405378.66667,7484.11,1130.97,55.26,843
08,08 - Abitibi-Témiscamingue,4448,89,4413,35,26,1,3268,1154,147876.33333,3007.92,780.04,17.58,117
09,09 - Côte-Nord,2721,50,2695,26,5,0,1864,852,90082.333333,3020.57,950.17,5.55,112
10,10 - Nord-du-Québec,524,17,470,54,0,0,386,138,13383.666667,3915.22,1037.28,0.00,33
11,11 - Gaspésie-Îles-de-la-Madeleine,4098,53,4062,36,48,0,3523,527,90783.333333,4514.04,579.78,52.87,108
12,12 - Chaudière-Appalaches,43094,565,42819,275,425,3,36146,6523,434525.66667,9917.48,1494.15,97.81,783
13,13 - Laval,59144,512,57176,1968,962,0,52603,5579,445993.33333,13261.18,1239.44,215.70,905
14,14 - Lanaudière,54354,503,53639,715,574,2,46523,7257,530581,10244.24,1351.37,108.18,1164
15,15 - Laurentides,49300,1397,48694,606,549,5,42297,6454,640046.66667,7702.56,994.89,85.77,1079
16,16 - Montérégie,111274,1080,109360,1914,1717,12,96710,12847,1452381.3333,7661.49,875.84,118.22,1688
17,17 - Nunavik,1736,64,1732,4,5,0,1311,420,14619,11874.96,2824.29,34.20,13
18,18 - Terres-Cries-de-la-Baie-James,922,56,791,131,5,0,649,268,18660.333333,4940.96,1412.68,26.79,36
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,2271,22,2263,8,1,0,2029,241,.,.,.,.,50
999,Ensemble du Québec,775720,8793,764805,10915,12125,45,670356,93239,8613493.6667,9005.87,1074.53,140.77,13132

