No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,9,37,4,13,0,66,0.5 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,93,5,88,8,288,2.4 %
03,03 - Capitale-Nationale,4,533,249,32,330,28,1176,9.7 %
04,04 - Mauricie et Centre-du-Québec,5,154,342,22,110,5,638,5.3 %
05,05 - Estrie,3,134,152,19,123,12,443,3.7 %
06,06 - Montréal,208,2754,1078,140,720,73,4973,41.0 %
07,07 - Outaouais,11,79,64,14,53,3,224,1.8 %
08,08 - Abitibi-Témiscamingue,2,0,21,0,3,0,26,0.2 %
09,09 - Côte-Nord,0,0,4,0,1,0,5,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,20,0,13,0,48,0.4 %
12,12 - Chaudière-Appalaches,5,129,141,7,138,5,425,3.5 %
13,13 - Laval,2,513,199,53,189,6,962,7.9 %
14,14 - Lanaudière,3,260,168,12,127,4,574,4.7 %
15,15 - Laurentides,64,184,149,54,84,14,549,4.5 %
16,16 - Montérégie,16,630,511,62,489,9,1717,14.2 %
17,17 - Nunavik,0,0,5,0,0,0,5,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,4,0,0,1,5,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),326,5488,3238,424,2481,168,12125,
9999,Ensemble du Québec (%),2.7 %,45.3 %,26.7 %,3.5 %,20.5 %,1.4 %,.,100.0 %

