,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,3903,6,3877,26,47,0,3756,100,196934.5,1981.88,50.81,23.87
02,02 - Saguenay-Lac-Saint-Jean,10896,7,10675,221,269,0,10522,105,277505,3926.42,37.85,96.94
03,03 - Capitale-Nationale,32578,16,32227,351,1107,0,31271,200,757803,4299.01,26.31,146.08
04,04 - Mauricie et Centre-du-Québec,15069,3,14830,239,517,0,14448,104,523331.5,2879.44,19.84,98.79
05,05 - Estrie,14703,20,14185,518,348,0,14043,312,494966.5,2970.50,62.81,70.31
06,06 - Montréal,131173,79,128249,2924,4741,1,124883,1549,2072060.5,6330.56,74.53,228.81
07,07 - Outaouais,12201,16,11754,447,214,0,11808,179,402744,3029.47,44.26,53.14
08,08 - Abitibi-Témiscamingue,1113,0,1080,33,9,0,1102,2,147637,753.88,1.35,6.10
09,09 - Côte-Nord,571,0,552,19,3,0,565,3,89700.5,636.56,3.36,3.34
10,10 - Nord-du-Québec,109,0,107,2,0,0,106,3,13521.5,806.12,22.25,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,2017,3,1997,20,45,0,1944,28,89823,2245.53,31.23,50.10
12,12 - Chaudière-Appalaches,18898,31,18618,280,351,0,18267,280,431109.5,4383.57,64.83,81.42
13,13 - Laval,31217,17,29409,1808,909,0,30076,232,444658.5,7020.44,51.95,204.43
14,14 - Lanaudière,23776,9,23065,711,515,0,23102,159,522367,4551.59,30.31,98.59
15,15 - Laurentides,20751,13,20147,604,503,0,20087,161,630238,3292.57,25.41,79.81
16,16 - Montérégie,50749,56,48797,1952,1547,0,48704,498,1438226,3528.58,34.49,107.56
17,17 - Nunavik,47,0,45,2,0,0,47,0,14336.5,327.83,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,3,0,3,0,0,0,3,0,.,.,.,.
99,Hors Québec,426,0,421,5,0,0,416,10,.,.,.,.
999,Ensemble du Québec,370319,276,360157,10162,11128,1,355266,3925,8565469.5,4323.39,45.68,129.92

