Régions sociosanitaires;2021-05-30;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;6;3 903
02 - Saguenay – Lac-Saint-Jean;7;10 896
03 - Capitale-Nationale;16;32 578
04 - Mauricie-et-Centre-du-Québec;3;15 069
05 - Estrie;20;14 703
06 - Montréal;79;131 173
07 - Outaouais;16;12 201
08 - Abitibi-Témiscamingue;0;1 113
09 - Côte-Nord;0;571
10 - Nord-du-Québec;0;109
11 - Gaspésie – Îles-de-la-Madeleine;3;2 017
12 - Chaudière-Appalaches;31;18 898
13 - Laval;17;31 217
14 - Lanaudière;9;23 776
15 - Laurentides;13;20 751
16 - Montérégie;56;50 749
17 - Nunavik;0;47
18 - Terres-Cries-de-la-Baie-James;0;119
Hors Québec;0;426
Région à déterminer;0;3
Total;276;370 319
