RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,156,0,0,0,156,1210,614.85,"100,0","87,5"
02 - Saguenay–Lac-Saint-Jean,59,0,2,0,61,921,332.04,"100,0","98,6"
03 - Capitale-Nationale,567,3,8,0,578,7880,"1,036.64","97,1","87,0"
04 - Mauricie et Centre-du-Québec,90,0,0,1,91,1317,251.18,"73,5","83,3"
05 - Estrie,92,0,15,2,109,2271,457.15,"99,5","92,9"
06 - Montréal,3163,107,177,15,3462,13448,647.02,"89,0","89,3"
07 - Outaouais,448,16,33,0,497,3709,917.03,"97,6","97,6"
08 - Abitibi-Témiscamingue,0,177,0,0,177,245,165.92,"100,0","100,0"
09 - Côte-Nord,6,0,0,0,6,149,166.73,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,7,0,0,0,7,163,181.82,"100,0","100,0"
12 - Chaudière-Appalaches,386,2,10,0,398,3300,764.05,"89,1","80,9"
13 - Laval,408,13,18,1,440,3077,689.03,"97,2","91,5"
14 - Lanaudière,267,28,11,0,306,1618,308.40,"90,8","89,9"
15 - Laurentides,421,14,47,0,482,2405,379.63,"87,9","90,8"
16 - Montérégie,303,15,114,6,438,4133,286.28,"91,2","84,9"
Inconnu,0,1,0,0,1,719,,"66,7","50,0"
Hors Québec,47,9,2,2,60,88,,"75,0","66,7"
Ensemble du Québec,6420,386,437,27,7270,46669,543.18,"91,7","89,2"
