No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,2,0,2,0,2,0,6,0.1 %
2,02 - Saguenay–Lac-Saint-Jean,0,21,0,0,0,5,26,0.4 %
3,03 - Capitale-Nationale,2,153,20,2,55,0,232,3.9 %
4,04 - Mauricie et Centre-du-Québec,4,124,28,12,43,0,211,3.6 %
5,05 - Estrie,1,6,7,0,16,3,33,0.6 %
6,06 - Montréal,186,2438,303,101,424,35,3487,59.0 %
7,07 - Outaouais,4,18,4,7,1,0,34,0.6 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,1,0,0,0,1,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,5,7,0,5,0,17,0.3 %
12,12 - Chaudière-Appalaches,2,2,1,4,16,2,27,0.5 %
13,13 - Laval,2,457,58,41,127,6,691,11.7 %
14,14 - Lanaudière,3,124,43,5,48,0,223,3.8 %
15,15 - Laurentides,60,95,42,25,54,7,283,4.8 %
16,16 - Montérégie,10,267,110,32,203,8,630,10.7 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),276,3710,629,229,995,67,5906,100.0 %
9999,Ensemble du Québec (%),4.7 %,62.8 %,10.7 %,3.9 %,16.8 %,1.1 %,           .,
