RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,155,0,0,0,155,1192,605.71,86.2,100
02 - Saguenay–Lac-Saint-Jean,59,0,1,0,60,850,306.44,92.2,92.6
03 - Capitale-Nationale,566,3,7,18,594,7799,"1,025.99",100,87.4
04 - Mauricie et Centre-du-Québec,85,0,0,2,87,1290,246.03,77.6,92.1
05 - Estrie,91,0,14,1,106,2142,431.19,97.1,91.4
06 - Montréal,3147,104,155,53,3459,12900,620.65,90.2,90.9
07 - Outaouais,448,16,32,7,503,3589,887.36,97.5,100
08 - Abitibi-Témiscamingue,0,170,0,0,170,243,164.57,100,100
09 - Côte-Nord,6,0,0,0,6,149,166.73,100,100
10 - Nord-du-Québec,0,0,0,0,0,14,103.82,100,50
11 - Gaspésie–Îles-de-la-Madeleine,7,0,0,0,7,159,177.36,88,95.5
12 - Chaudière-Appalaches,369,0,6,0,375,3203,741.59,92.1,87.1
13 - Laval,399,13,16,8,436,2981,667.53,93.2,92.7
14 - Lanaudière,265,27,8,8,308,1568,298.87,88.5,85.9
15 - Laurentides,410,14,42,12,478,2335,368.58,93.8,88.1
16 - Montérégie,276,14,101,7,398,3946,273.33,88.8,88.6
Inconnu,0,1,0,0,1,715,,100,100
Hors Québec,44,8,1,1,54,84,,66.7,100
Ensemble du Québec,6327,370,383,117,7197,45159,525.60,91.6,90.5
