,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,3882,6,3856,26,43,0,3674,165,196934.5,1971.21,83.84,21.83
02,02 - Saguenay-Lac-Saint-Jean,10837,11,10616,221,269,0,10417,151,277505,3905.15,54.44,96.94
03,03 - Capitale-Nationale,32466,13,32114,352,1105,0,31117,244,757803,4284.23,32.10,145.82
04,04 - Mauricie et Centre-du-Québec,15015,12,14776,239,517,0,14313,185,523331.5,2869.12,35.28,98.79
05,05 - Estrie,14561,25,14046,515,345,0,13802,414,494966.5,2941.82,83.34,69.70
06,06 - Montréal,130562,96,127637,2925,4733,0,123871,1958,2072060.5,6301.07,94.20,228.42
07,07 - Outaouais,12077,7,11630,447,214,3,11658,205,402744,2998.68,50.69,53.14
08,08 - Abitibi-Témiscamingue,1111,0,1078,33,9,0,1099,3,147637,752.52,2.03,6.10
09,09 - Côte-Nord,570,0,551,19,3,0,562,5,89700.5,635.45,5.59,3.34
10,10 - Nord-du-Québec,109,0,107,2,0,0,103,6,13521.5,806.12,44.49,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1997,4,1977,20,45,0,1894,58,89823,2223.26,64.70,50.10
12,12 - Chaudière-Appalaches,18744,35,18464,280,349,1,18017,378,431109.5,4347.85,87.52,80.95
13,13 - Laval,31087,22,29282,1805,908,0,29870,309,444658.5,6991.21,69.19,204.20
14,14 - Lanaudière,23714,13,23003,711,515,0,22989,210,522367,4539.72,40.03,98.59
15,15 - Laurentides,20646,22,20042,604,502,0,19916,228,630238,3275.91,35.99,79.65
16,16 - Montérégie,50496,40,48548,1948,1545,0,48365,586,1438226,3510.99,40.59,107.42
17,17 - Nunavik,47,0,45,2,0,0,47,0,14336.5,327.83,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,3,0,3,0,0,0,3,0,.,.,.,.
99,Hors Québec,420,2,415,5,0,0,397,23,.,.,.,.
999,Ensemble du Québec,368463,308,358309,10154,11105,4,352230,5128,8565469.5,4301.73,59.68,129.65

