Régions sociosanitaires;2021-05-23;2021-05-24;2021-05-25;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;14;8;6;3 882
02 - Saguenay – Lac-Saint-Jean;16;11;11;10 837
03 - Capitale-Nationale;18;18;13;32 466
04 - Mauricie-et-Centre-du-Québec;14;10;12;15 015
05 - Estrie;63;31;25;14 561
06 - Montréal;160;114;96;130 562
07 - Outaouais;19;16;7;12 077
08 - Abitibi-Témiscamingue;0;0;0;1 111
09 - Côte-Nord;0;1;0;570
10 - Nord-du-Québec;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;2;4;1 997
12 - Chaudière-Appalaches;19;32;35;18 744
13 - Laval;23;18;22;31 087
14 - Lanaudière;13;15;13;23 714
15 - Laurentides;16;26;22;20 646
16 - Montérégie;57;37;40;50 496
17 - Nunavik;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;119
Hors Québec;1;7;2;420
Région à déterminer;0;0;0;3
Total;433;346;308;368 463
