Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;10148
02 - Saguenay – Lac-Saint-Jean;13002
03 - Capitale-Nationale;40288
04 - Mauricie-et-Centre-du-Québec;21587
05 - Estrie;19366
06 - Montréal;100 988
07 - Outaouais;13289
08 - Abitibi-Témiscamingue;9789
09 - Côte-Nord;17 603
10 - Nord-du-Québec;7769
11 - Gaspésie – Îles-de-la-Madeleine;9890
12 - Chaudière-Appalaches;17516
13 - Laval;14446
14 - Lanaudière;19507
15 - Laurentides;19575
16 - Montérégie;48542
17 - Nunavik;4484
18 - Terres-Cries-de-la-Baie-James;10084
Inconnu;2667
Total;400 540
