No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,1,4,4,6,0,18,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,48,41,1,25,6,122,1.7 %
3,03 - Capitale-Nationale,3,247,81,4,91,7,433,6.2 %
4,04 - Mauricie et Centre-du-Québec,6,124,59,17,55,5,266,3.8 %
5,05 - Estrie,1,16,14,1,25,5,62,0.9 %
6,06 - Montréal,191,2473,364,104,443,43,3618,51.5 %
7,07 - Outaouais,6,21,16,10,23,4,80,1.1 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,13,0,13,0,40,0.6 %
12,12 - Chaudière-Appalaches,5,43,30,6,42,4,130,1.9 %
13,13 - Laval,2,472,65,43,137,6,725,10.3 %
14,14 - Lanaudière,3,186,57,6,70,2,324,4.6 %
15,15 - Laurentides,58,118,57,30,61,12,336,4.8 %
16,16 - Montérégie,13,395,152,39,248,13,860,12.2 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),292,4158,958,265,1240,108,7021,
9999,Ensemble du Québec (%),4.2 %,59.2 %,13.6 %,3.8 %,17.7 %,1.5 %,           .,100.0 %
