,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,792,20,780,12,18,1,604,170,197074,401.88,86.26,9.13
02,02 - Saguenay–Lac-Saint-Jean,4988,117,4837,151,122,6,3720,1146,277632,1796.62,412.78,43.94
03,03 - Capitale-Nationale,11449,128,11199,250,433,7,9756,1260,755459,1515.50,166.79,57.32
04,04 - Mauricie et Centre-du-Québec,6825,107,6622,203,266,3,5688,871,522341,1306.62,166.75,50.92
05,05 - Estrie,4501,96,4194,307,62,2,3797,642,493163,912.68,130.18,12.57
06,06 - Montréal,50319,429,47560,2759,3618,8,43766,2935,2065657,2435.98,142.09,175.15
07,07 - Outaouais,3524,33,3249,275,80,1,3097,347,401032,878.73,86.53,19.95
08,08 - Abitibi-Témiscamingue,268,0,236,32,4,0,253,11,147616,181.55,7.45,2.71
09,09 - Côte-Nord,205,3,193,12,2,0,183,20,90033,227.69,22.21,2.22
10,10 - Nord-du-Québec,54,1,52,2,0,0,48,6,13558,398.29,44.25,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1360,12,1341,19,40,0,1235,85,89998,1511.14,94.45,44.45
12,12 - Chaudière-Appalaches,5237,68,5002,235,130,0,4656,451,430309,1217.03,104.81,30.21
13,13 - Laval,11248,85,10052,1196,725,0,9916,607,442745,2540.51,137.10,163.75
14,14 - Lanaudière,11077,120,10377,700,324,3,9537,1216,520092,2129.82,233.80,62.30
15,15 - Laurentides,7844,45,7249,595,336,2,7155,353,626968,1251.10,56.30,53.59
16,16 - Montérégie,19800,215,18598,1202,860,4,17358,1582,1432751,1381.96,110.42,60.02
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,16,0,16,0,1,0,15,0,18385,87.03,0.00,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,105,1,103,2,0,0,91,14,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,139643,1480,131689,7954,7021,37,120906,11716,8539073,1635.34,137.20,82.22
