Régions sociosanitaires;2021-07-04;2021-07-05;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;0;0;3 958
02 - Saguenay – Lac-Saint-Jean;0;1;11 019
03 - Capitale-Nationale;0;4;32 796
04 - Mauricie-et-Centre-du-Québec;3;1;15 195
05 - Estrie;1;7;14 903
06 - Montréal;17;14;132 857
07 - Outaouais;3;12;12 547
08 - Abitibi-Témiscamingue;0;0;1 146
09 - Côte-Nord;0;0;575
10 - Nord-du-Québec;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;0;2 065
12 - Chaudière-Appalaches;1;2;19 275
13 - Laval;10;7;31 676
14 - Lanaudière;3;4;24 059
15 - Laurentides;1;0;20 998
16 - Montérégie;10;13;51 437
17 - Nunavik;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;119
Hors Québec;0;2;477
Région à déterminer;0;0;4
Total;49;67;375 262
