Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;8;20;* 18,2;4781;4352,6;0;;0;
5-9 ans;< 5;18;* 16,7;6292;5848,7;0;;0;
10-19 ans;42;77;38,7;14608;7343,8;0;;0;
20-29 ans;45;93;28,6;22415;6884,7;0;;< 5;n.p.
30-39 ans;36;71;21,6;20369;6206;0;;7;n.p.
40-49 ans;24;44;15,9;19745;7112,9;0;;22;* 7,9
50-59 ans;18;40;15,6;16233;6328,7;0;;103;40,2
60-69 ans;17;32;* 14,8;9906;4579;< 5;n.p.;331;153
70-79 ans;< 5;9;n.p.;6454;4466,2;< 5;n.p.;836;578,5
80 ans et +;< 5;6;n.p.;11948;11877,8;0;;3466;3445,6
Manquant;0;0;;92;;0;;0;
Total;197;410;19,8;132843;6431;< 5;n.p.;4768;230,8
