Régions sociosanitaires;2021-07-04;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;0;3 958
02 - Saguenay – Lac-Saint-Jean;0;11 018
03 - Capitale-Nationale;0;32 792
04 - Mauricie-et-Centre-du-Québec;3;15 194
05 - Estrie;1;14 896
06 - Montréal;17;132 843
07 - Outaouais;3;12 535
08 - Abitibi-Témiscamingue;0;1 146
09 - Côte-Nord;0;575
10 - Nord-du-Québec;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;2 065
12 - Chaudière-Appalaches;1;19 273
13 - Laval;10;31 669
14 - Lanaudière;3;24 055
15 - Laurentides;1;20 998
16 - Montérégie;10;51 424
17 - Nunavik;0;47
18 - Terres-Cries-de-la-Baie-James;0;119
Hors Québec;0;475
Région à déterminer;0;4
Total;49;375 195
