No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,68,5,18,0,107,0.8 %
02,02 - Saguenay-Lac-Saint-Jean,0,104,126,8,111,9,358,2.5 %
03,03 - Capitale-Nationale,5,594,311,37,417,34,1398,9.9 %
04,04 - Mauricie et Centre-du-Québec,5,157,566,22,114,5,869,6.2 %
05,05 - Estrie,3,148,195,25,155,14,540,3.8 %
06,06 - Montréal,215,2806,1302,157,771,79,5330,37.7 %
07,07 - Outaouais,11,93,105,15,61,3,288,2.0 %
08,08 - Abitibi-Témiscamingue,3,17,42,2,6,0,70,0.5 %
09,09 - Côte-Nord,0,0,34,0,1,0,35,0.2 %
10,10 - Nord-du-Québec,0,0,4,0,0,0,4,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,29,0,13,0,57,0.4 %
12,12 - Chaudière-Appalaches,5,145,218,10,161,6,545,3.9 %
13,13 - Laval,4,530,250,57,199,7,1047,7.4 %
14,14 - Lanaudière,3,311,226,21,156,5,722,5.1 %
15,15 - Laurentides,63,241,221,64,99,13,701,5.0 %
16,16 - Montérégie,16,693,690,69,551,10,2029,14.4 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,13,0,0,1,14,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),336,5867,4412,492,2833,186,14126,
9999,Ensemble du Québec (%),2.4 %,41.5 %,31.2 %,3.5 %,20.1 %,1.3 %,.,100.0 %

