No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,0,2,4,4,0,13,0.2 %
2,02 - Saguenay–Lac-Saint-Jean,1,39,25,0,10,6,81,1.2 %
3,03 - Capitale-Nationale,3,221,76,3,80,5,388,5.8 %
4,04 - Mauricie et Centre-du-Québec,6,124,45,14,49,2,240,3.6 %
5,05 - Estrie,1,13,12,0,23,3,52,0.8 %
6,06 - Montréal,189,2459,353,103,435,38,3577,53.6 %
7,07 - Outaouais,5,21,12,8,15,4,65,1.0 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,12,14,0,10,0,36,0.5 %
12,12 - Chaudière-Appalaches,5,28,28,6,37,3,107,1.6 %
13,13 - Laval,2,471,63,42,133,7,718,10.8 %
14,14 - Lanaudière,3,155,48,6,60,0,272,4.1 %
15,15 - Laurentides,59,110,53,30,61,11,324,4.9 %
16,16 - Montérégie,13,360,138,37,235,12,795,11.9 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),290,4013,874,253,1153,92,6675,
9999,Ensemble du Québec (%),4.3 %,60.1 %,13.1 %,3.8 %,17.3 %,1.4 %,           .,100.0 %
