,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20728,8,20689,39,174,0,20301,253,197738.33333,10482.54,128.00,88.00,19,870,3
02,02 - Saguenay-Lac-Saint-Jean,30348,16,29987,361,441,0,29595,312,278600,10893.04,111.99,158.29,26,1618,1
03,03 - Capitale-Nationale,88360,27,87999,361,1552,0,86097,711,761103.66667,11609.46,92.75,203.91,68,4265,4
04,04 - Mauricie et Centre-du-Québec,58809,22,58569,240,1006,0,57390,413,527666.66667,11145.10,77.88,190.65,32,3174,3
05,05 - Estrie,49565,0,49041,524,622,0,48468,475,502406,9865.53,93.51,123.80,36,2751,2
06,06 - Montréal,308672,107,305312,3360,5477,0,301431,1764,2061667.3333,14971.96,85.16,265.66,139,16122,9
07,07 - Outaouais,39717,13,39272,445,315,0,39188,214,405378.66667,9797.51,52.23,77.71,21,1848,3
08,08 - Abitibi-Témiscamingue,10951,10,10910,41,111,0,10727,113,147876.33333,7405.51,76.38,75.06,9,630,0
09,09 - Côte-Nord,8590,7,8564,26,46,0,8361,183,90082.333333,9535.72,204.09,51.06,18,495,0
10,10 - Nord-du-Québec,1496,1,1267,229,4,0,1484,8,13383.666667,11177.80,60.13,29.89,0,52,0
11,11 - Gaspésie-Îles-de-la-Madeleine,9056,4,9019,37,82,0,8861,113,90783.333333,9975.40,124.32,90.32,10,435,0
12,12 - Chaudière-Appalaches,61168,19,60885,283,667,0,60171,330,434525.66667,14076.96,75.59,153.50,23,2546,1
13,13 - Laval,71392,14,69432,1960,1114,0,70001,277,445993.33333,16007.41,61.54,249.78,27,3251,2
14,14 - Lanaudière,69691,23,68975,716,775,0,68611,305,530581,13134.85,56.80,146.07,28,2812,1
15,15 - Laurentides,79268,22,78663,605,763,0,77885,620,640046.66667,12384.72,95.57,119.21,50,3743,6
16,16 - Montérégie,148979,51,147066,1913,2235,0,145516,1228,1452381.3333,10257.57,83.72,153.89,74,8105,5
17,17 - Nunavik,3008,1,3002,6,10,0,2991,7,14619,20575.96,47.07,68.40,1,111,0
18,18 - Terres-Cries-de-la-Baie-James,2941,2,2545,396,16,0,2912,13,18660.333333,15760.70,68.53,85.74,1,100,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,386,1
99,Hors Québec,2943,3,2935,8,2,0,2921,20,.,.,.,.,2,0,0
999,Ensemble du Québec,1065682,350,1054132,11550,15412,0,1042911,7359,8613493.6667,12372.24,84.81,178.93,584,53314,41

