No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Dﾃｩcﾃｨs (n),Dﾃｩcﾃｨs (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay窶鏑ac-Saint-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,2,147, 7,2,32,,,190,"3,4%"
4,04 - Mauricie et Centre-du-Quﾃｩbec,4,125, 28,12,43,,,212,"3,8%"
5,05 - Estrie,,1, 7,,15,3,,26,"0,5%"
6,06 - Montrﾃｩal,180,2416, 266,81,440,33,7,3423,"60,8%"
7,07 - Outaouais,4,18, 3,7,1,,,33,"0,6%"
8,08 - Abitibi-Tﾃｩmiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Cﾃｴte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Quﾃｩbec,,,,,,,,0,"0,0%"
11,11 - Gaspﾃｩsie窶禿四es-de-la-Madeleine,,2, 2,,5,,,9,"0,2%"
12,12 - Chaudiﾃｨre-Appalaches,1,,,,7,,,8,"0,1%"
13,13 - Laval,,450, 56,41,121,5,,673,"12,0%"
14,14 - Lanaudiﾃｨre,3,112, 39,5,49,,,208,"3,7%"
15,15 - Laurentides,44,82, 22,16,45,4,,213,"3,8%"
16,16 - Montﾃｩrﾃｩgie,8,256, 99,30,201,6,,600,"10,7%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Quﾃｩbec,247,3630, 533,194,960,56,7,5627,
9999,,"4,4%","64,5%","9,5%","3,4%","17,1%","1,0%","0,1%",,"100,0%"
