RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,169,0,0,0,169,1246,633.15,76.9,"50,0"
02 - Saguenay–Lac-Saint-Jean,82,0,2,0,84,1008,363.40,97.7,90.5
03 - Capitale-Nationale,624,3,9,0,636,7976,"1,049.27",95.6,88.4
04 - Mauricie et Centre-du-Québec,102,0,0,3,105,1385,264.15,100,37.5
05 - Estrie,92,0,15,1,108,2398,482.72,96.8,90.2
06 - Montréal,3226,123,207,20,3576,14096,678.19,89.5,88.9
07 - Outaouais,481,16,33,0,530,3808,941.51,95.6,100
08 - Abitibi-Témiscamingue,0,177,0,0,177,261,176.76,88.9,93.8
09 - Côte-Nord,10,0,0,0,10,150,167.85,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,181,201.90,100,100
12 - Chaudière-Appalaches,478,2,11,0,491,3463,801.79,97.8,83.9
13 - Laval,417,13,18,1,449,3159,707.39,92.1,85.7
14 - Lanaudière,282,32,11,0,325,1701,324.22,95.1,79.5
15 - Laurentides,447,16,47,0,510,2514,396.84,91.8,97.8
16 - Montérégie,324,17,129,7,477,4322,299.37,86.2,90.7
Inconnu,0,1,0,0,1,718,,.,.
Hors Québec,47,9,3,2,61,101,,.,.
Ensemble du Québec,6789,410,485,34,7718,48503,564.52,92.2,87.4
