Régions sociosanitaires;2021-06-06;2021-06-07;2021-06-08;2021-06-09;2021-06-10;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;4;4;1;6;3 942
02 - Saguenay – Lac-Saint-Jean;10;5;5;5;2;10 996
03 - Capitale-Nationale;6;6;16;5;7;32 687
04 - Mauricie-et-Centre-du-Québec;10;4;6;8;0;15 148
05 - Estrie;15;1;2;10;11;14 830
06 - Montréal;66;49;61;52;66;131 913
07 - Outaouais;16;17;7;21;12;12 340
08 - Abitibi-Témiscamingue;9;1;1;1;1;1 134
09 - Côte-Nord;0;0;0;0;0;572
10 - Nord-du-Québec;0;0;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;3;2;5;4;3;2 038
12 - Chaudière-Appalaches;11;16;21;19;20;19 158
13 - Laval;9;5;10;13;18;31 369
14 - Lanaudière;4;10;9;7;11;23 873
15 - Laurentides;5;10;11;11;7;20 878
16 - Montérégie;26;17;20;32;16;51 051
17 - Nunavik;0;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;119
Hors Québec;0;3;0;0;0;449
Région à déterminer;0;0;0;0;0;3
Total;193;150;178;189;180;372 656
