No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Dﾃｩcﾃｨs (n),Dﾃｩcﾃｨs (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay窶鏑ac-Saint-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,2,112, 7,,31,,,152,"2,9%"
4,04 - Mauricie et Centre-du-Quﾃｩbec,5,124, 26,12,43,,,210,"4,0%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,5%"
6,06 - Montrﾃｩal,171,2225, 253,69,435,30,6,3189,"61,4%"
7,07 - Outaouais,4,17, 3,5,,,,29,"0,6%"
8,08 - Abitibi-Tﾃｩmiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Cﾃｴte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Quﾃｩbec,,,,,,,,0,"0,0%"
11,11 - Gaspﾃｩsie窶禿四es-de-la-Madeleine,,2, 2,,5,,,9,"0,2%"
12,12 - Chaudiﾃｨre-Appalaches,1,,,,7,,,8,"0,2%"
13,13 - Laval,2,435, 50,41,119,5,,652,"12,6%"
14,14 - Lanaudiﾃｨre,3,110, 36,5,49,,,203,"3,9%"
15,15 - Laurentides,33,76, 7,14,33,1,,164,"3,2%"
16,16 - Montﾃｩrﾃｩgie,17,220, 80,28,170,5,2,522,"10,0%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Quﾃｩbec,239,3343, 474,174,908,49,8,5195,
9999,,"4,6%","64,4%","9,1%","3,3%","17,5%","0,9%","0,2%",,"100,0%"
