No,RSS,NoRLS,RLS,Cas,Population,Taux
1,01 - Bas-St-Laurent,0111,0111 - RLS de Kamouraska,n.d.,20 780,n.d.
1,01 - Bas-St-Laurent,0112,0112 - RLS de Rivière-du-Loup,25,34 800,"71,8"
1,01 - Bas-St-Laurent,0113,0113 - RLS de Témiscouata,5,19 117,"26,2"
1,01 - Bas-St-Laurent,0114,0114 - RLS des Basques,n.d.,8 529,n.d.
1,01 - Bas-St-Laurent,0115,0115 - RLS de Rimouski,10,57 630,"17,4"
1,01 - Bas-St-Laurent,0116,0116 - RLS de La Mitis,0,17 978,"0,0"
1,01 - Bas-St-Laurent,0117,0117 - RLS de Matane,0,20 726,"0,0"
1,01 - Bas-St-Laurent,0118,0118 - RLS de La Matapédia,n.d.,17 514,n.d.
1,01 - Bas-St-Laurent,,Total,48,197 074,"24,4"
2,02 - Saguenay – Lac-St-Jean,0211,0211 - RLS du Domaine-du-Roy,5,31 078,"16,1"
2,02 - Saguenay – Lac-St-Jean,0212,0212 - RLS de Maria-Chapdelaine,n.d.,25 064,n.d.
2,02 - Saguenay – Lac-St-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,23,52 298,"44,0"
2,02 - Saguenay – Lac-St-Jean,0214,0214 - RLS de Jonquière,64,67 417,"94,9"
2,02 - Saguenay – Lac-St-Jean,0215,0215 - RLS de Chicoutimi,204,79 201,"257,6"
2,02 - Saguenay – Lac-St-Jean,0216,0216 - RLS de La Baie,30,22 574,"132,9"
2,02 - Saguenay – Lac-St-Jean,,Total,328,277 632,"118,1"
3,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,59,54 895,"107,5"
3,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,877,321 016,"273,2"
3,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,712,351 429,"202,6"
3,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,12,28 119,"42,7"
3,03 - Capitale-Nationale,,Total,1760,755 459,"233,0"
4,04 - Mauricie-et-Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,0,15 020,"0,0"
4,04 - Mauricie-et-Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,111,25 562,"434,2"
4,04 - Mauricie-et-Centre-du-Québec,0413,0413 - RLS de Maskinongé,248,22 961,"1 080,1"
4,04 - Mauricie-et-Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,355,64 641,"549,2"
4,04 - Mauricie-et-Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,924,143 422,"644,3"
