No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Dﾃｩcﾃｨs (n),Dﾃｩcﾃｨs (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay窶鏑ac-Saint-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,3,110, 7,,31,,,151,"3,0%"
4,04 - Mauricie et Centre-du-Quﾃｩbec,5,123, 26,12,43,,,209,"4,1%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,5%"
6,06 - Montrﾃｩal,167,2189, 247,65,428,29,5,3130,"61,3%"
7,07 - Outaouais,4,17, 3,5,,,,29,"0,6%"
8,08 - Abitibi-Tﾃｩmiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Cﾃｴte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Quﾃｩbec,,,,,,,,0,"0,0%"
11,11 - Gaspﾃｩsie窶禿四es-de-la-Madeleine,,2, 2,,5,,,9,"0,2%"
12,12 - Chaudiﾃｨre-Appalaches,1,,,,7,,,8,"0,2%"
13,13 - Laval,2,433, 50,40,117,5,,647,"12,7%"
14,14 - Lanaudiﾃｨre,3,109, 36,5,49,,,202,"4,0%"
15,15 - Laurentides,31,75, 7,14,33,,,160,"3,1%"
16,16 - Montﾃｩrﾃｩgie,17,211, 77,26,162,8,2,503,"9,9%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Quﾃｩbec,234,3291, 465,167,891,50,7,5105,
9999,,"4,6%","64,5%","9,1%","3,3%","17,5%","1,0%","0,1%",,"100,0%"
