"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;41195
02 - Saguenay - Lac-Saint-Jean;57969
03 - Capitale-Nationale;146439
04 - Mauricie et Centre-du-Québec;108217
05 - Estrie;89704
06 - Montréal;536826
07 - Outaouais;74653
08 - Abitibi-Témiscamingue;27300
09 - Côte-Nord;32485
10 - Nord-du-Québec;9337
11 - Gaspésie - Îles-de-la-Madeleine;32090
12 - Chaudière-Appalaches;81133
13 - Laval;92954
14 - Lanaudière;100736
15 - Laurentides;111288
16 - Montérégie;264040
17 - Nunavik;6025
18 - Terres-Cries-de-la-Baie-James;14446
Inconnue;2174
Total;1829011
