,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,2295,28,2276,19,34,1,1998,263,196934.5,1165.36,133.64,17.26
02,02 - Saguenay-Lac-Saint-Jean,9692,40,9483,209,266,0,9223,203,277505,3492.55,73.19,95.85
03,03 - Capitale-Nationale,27269,410,26927,342,1031,2,23370,2868,757803,3598.43,377.30,136.05
04,04 - Mauricie et Centre-du-Québec,13431,32,13198,233,507,-1,12730,194,523331.5,2566.44,37.00,96.88
05,05 - Estrie,12345,44,11865,480,323,0,11708,314,494966.5,2494.11,63.21,65.26
06,06 - Montréal,119388,428,116490,2898,4642,3,111259,3487,2072060.5,5761.80,167.77,224.03
07,07 - Outaouais,8855,142,8420,435,178,0,7778,899,402744,2198.67,222.27,44.20
08,08 - Abitibi-Témiscamingue,1042,5,1009,33,9,0,974,59,147637,705.79,39.96,6.10
09,09 - Côte-Nord,391,12,376,15,3,0,355,33,89700.5,435.90,36.93,3.34
10,10 - Nord-du-Québec,90,0,88,2,0,0,89,1,13521.5,665.61,7.42,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1767,1,1748,19,45,0,1705,17,89823,1967.20,18.96,50.10
12,12 - Chaudière-Appalaches,13692,220,13422,270,293,1,12169,1230,431109.5,3175.99,284.78,67.96
13,13 - Laval,28065,85,26390,1675,891,0,26436,738,444658.5,6311.59,165.26,200.38
14,14 - Lanaudière,22117,58,21406,711,503,0,21201,413,522367,4234.00,78.72,96.29
15,15 - Laurentides,18477,104,17873,604,492,3,17468,517,630238,2931.75,81.61,78.07
16,16 - Montérégie,45465,144,43566,1899,1517,2,42824,1124,1438226,3161.19,77.86,105.48
17,17 - Nunavik,46,0,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,4,0,4,0,0,0,4,0,.,.,.,.
99,Hors Québec,298,1,293,5,0,0,287,11,.,.,.,.
999,Ensemble du Québec,324848,1754,314997,9851,10737,11,301740,12371,8565469.5,3792.53,143.99,125.35

