RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,474,240.86
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,53,19.11
03 - Capitale-Nationale,51,1,0,0,52,3812,501.48
04 - Mauricie et Centre-du-Québec,3,0,0,0,3,196,37.38
05 - Estrie,24,0,0,0,24,257,51.73
06 - Montréal,983,7,1,5,996,4636,223.05
07 - Outaouais,39,0,0,5,44,1155,285.57
08 - Abitibi-Témiscamingue,0,128,0,0,128,207,140.19
09 - Côte-Nord,0,0,0,0,0,12,13.43
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,2,2.23
12 - Chaudière-Appalaches,12,0,0,0,12,970,224.58
13 - Laval,98,3,0,1,102,1074,240.50
14 - Lanaudière,58,5,0,0,63,443,84.44
15 - Laurentides,101,6,1,0,108,666,105.13
16 - Montérégie,49,3,0,0,52,913,63.24
Inconnu,0,1,0,0,1,549,
Hors Québec,12,0,0,1,13,26,
Ensemble du Québec,1430,154,2,12,1598,15445,179.76
