Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;9;78;71;4931;4489,2;0;;0;
5-9 ans;< 5;197;183,1;6646;6177,7;0;;0;
10-19 ans;21;398;200,1;15292;7687,7;0;;0;
20-29 ans;39;740;227,3;24004;7372,7;0;;< 5;n.p.
30-39 ans;22;441;134,4;21286;6485,4;0;;7;n.p.
40-49 ans;11;288;103,7;20340;7327,2;0;;22;* 7,9
50-59 ans;8;163;63,5;16576;6462,4;0;;105;40,9
60-69 ans;9;86;39,8;10072;4655,8;0;;332;153,5
70-79 ans;5;35;* 24,2;6528;4517,4;0;;838;579,9
80 ans et +;< 5;18;* 17,9;11965;11894,7;0;;3468;3447,6
Manquant;0;< 5;;94;;0;;0;
Total;130;2445;118,4;137734;6667,8;0;;4775;231,2
