Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;360;1,3;324,7;0;
5-9 ans;319;1,1;295,5;0;
10-19 ans;1116;3,9;561,1;0;
20-29 ans;3687;13;1144,6;< 5;n.p.
30-39 ans;3691;13,1;1123,5;< 5;n.p.
40-49 ans;3883;13,7;1395,1;15;*5,4
50-59 ans;3493;12,4;1360,9;67;26,1
60-69 ans;2418;8,6;1116,5;219;101,1
70-79 ans;2418;8,6;1671;593;409,8
80 ans et +;6873;24,3;6802,2;2533;2506,9
Manquant;82;;;;
Total;28340;;1371,9;3434;166,2
