No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,9,36,4,13,0,65,0.5 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,87,4,88,8,281,2.4 %
03,03 - Capitale-Nationale,4,531,227,32,328,28,1150,9.7 %
04,04 - Mauricie et Centre-du-Québec,5,154,306,22,110,5,602,5.1 %
05,05 - Estrie,3,134,129,19,123,12,420,3.6 %
06,06 - Montréal,208,2738,1034,137,709,73,4899,41.4 %
07,07 - Outaouais,11,79,64,14,53,3,224,1.9 %
08,08 - Abitibi-Témiscamingue,2,0,17,0,2,0,21,0.2 %
09,09 - Côte-Nord,0,0,4,0,1,0,5,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,20,0,13,0,48,0.4 %
12,12 - Chaudière-Appalaches,5,128,121,7,134,5,400,3.4 %
13,13 - Laval,2,511,194,53,188,6,954,8.1 %
14,14 - Lanaudière,3,251,156,13,124,3,550,4.7 %
15,15 - Laurentides,64,183,137,54,84,14,536,4.5 %
16,16 - Montérégie,15,626,464,62,478,9,1654,14.0 %
17,17 - Nunavik,0,0,5,0,0,0,5,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,4,0,0,1,5,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),325,5453,3006,421,2448,167,11820,
9999,Ensemble du Québec (%),2.7 %,46.1 %,25.4 %,3.6 %,20.7 %,1.4 %,.,100.0 %

