No,RSS,NoRLS,RLS,Cas,Population,Taux
1,01 - Bas-St-Laurent,0111,0111 - RLS de Kamouraska,6,20 780,"77,6"
1,01 - Bas-St-Laurent,0112,0112 - RLS de Rivière-du-Loup,27,34 800,"77,6"
1,01 - Bas-St-Laurent,0113,0113 - RLS de Témiscouata,6,19 117,"31,4"
1,01 - Bas-St-Laurent,0114,0114 - RLS des Basques,n.d.,8 529,n.d.
1,01 - Bas-St-Laurent,0115,0115 - RLS de Rimouski,15,57 630,"26,0"
1,01 - Bas-St-Laurent,0116,0116 - RLS de La Mitis,n.d.,17 978,n.d.
1,01 - Bas-St-Laurent,0117,0117 - RLS de Matane,0,20 726,"0,0"
1,01 - Bas-St-Laurent,0118,0118 - RLS de La Matapédia,n.d.,17 514,n.d.
1,01 - Bas-St-Laurent,,Total,61,197 074,"31,0"
2,02 - Saguenay – Lac-St-Jean,0211,0211 - RLS du Domaine-du-Roy,6,31 078,"19,3"
2,02 - Saguenay – Lac-St-Jean,0212,0212 - RLS de Maria-Chapdelaine,n.d.,25 064,n.d.
2,02 - Saguenay – Lac-St-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,24,52 298,"45,9"
2,02 - Saguenay – Lac-St-Jean,0214,0214 - RLS de Jonquière,64,67 417,"94,9"
2,02 - Saguenay – Lac-St-Jean,0215,0215 - RLS de Chicoutimi,204,79 201,"257,6"
2,02 - Saguenay – Lac-St-Jean,0216,0216 - RLS de La Baie,30,22 574,"132,9"
2,02 - Saguenay – Lac-St-Jean,,Total,332,277 632,"119,6"
3,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,64,54 895,"116,6"
3,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,934,321 016,"291,0"
3,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,745,351 429,"212,0"
3,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,13,28 119,"46,2"
3,03 - Capitale-Nationale,,Total,1861,755 459,"246,3"
4,04 - Mauricie-et-Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,0,15 020,"0,0"
4,04 - Mauricie-et-Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,112,25 562,"438,2"
4,04 - Mauricie-et-Centre-du-Québec,0413,0413 - RLS de Maskinongé,248,22 961,"1 080,1"
4,04 - Mauricie-et-Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,356,64 641,"550,7"
4,04 - Mauricie-et-Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,934,143 422,"651,2"
4,04 - Mauricie-et-Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,57,44 619,"127,7"
4,04 - Mauricie-et-Centre-du-Québec,0417,0417 - RLS de Drummond,308,107 872,"285,5"
4,04 - Mauricie-et-Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,30,98 244,"30,5"
4,04 - Mauricie-et-Centre-du-Québec,,Total,2050,522 341,"392,5"
5,05 - Estrie,0511,0511 - RLS de la Pommeraie,138,56 125,"245,9"
5,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,232,105 861,"219,2"
5,05 - Estrie,0513,0513 - RLS de Memphrémagog,100,52 514,"190,4"
5,05 - Estrie,0514,0514 - RLS de Coaticook,13,18 741,"69,4"
5,05 - Estrie,0515,0515 - RLS de Sherbrooke,316,170 075,"185,8"
5,05 - Estrie,0516,0516 - RLS de Val Saint-François,72,31 490,"228,6"
5,05 - Estrie,0517,0517 - RLS d'Asbestos,47,14 257,"329,7"
5,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,34,22 749,"149,5"
5,05 - Estrie,0519,0519 - RLS du Granit,16,21 351,"74,9"
5,05 - Estrie,,Total,970,493 163,"196,7"
6,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,1588,224 596,"707,0"
6,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2042,149 522,"1 365,7"
6,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,1319,131 424,"1 003,6"
6,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,2806,245 703,"1 142,0"
6,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,1894,166 225,"1 139,4"
6,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,1440,161 317,"892,7"
6,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,1797,161 894,"1 110,0"
6,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,4181,172 517,"2 423,5"
6,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,938,115 485,"812,2"
6,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,2356,139 162,"1 693,0"
6,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,3743,208 717,"1 793,3"
6,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,2506,189 095,"1 325,3"
6,06 - Montréal,,Total,27425,2 065 657,"1 327,7"
7,07 - Outaouais,0711,0711 - RLS du Pontiac,n.d.,20 152,n.d.
7,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,n.d.,20 552,n.d.
7,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,22,38 891,"56,6"
7,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,523,264 517,"197,7"
7,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,53,56 920,"93,1"
7,07 - Outaouais,,Total,606,401 032,"151,1"
8,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,11,20 528,"53,6"
8,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,5,24 729,"20,2"
8,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,131,43 180,"303,4"
8,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,7,43 551,"16,1"
8,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,17,15 628,"108,8"
8,08 - Abitibi-Témiscamingue,,Total,172,147 616,"116,5"
9,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,0,3 230,"0,0"
9,09 - Côte-Nord,0912,0912 - RLS de la Haute-Côte-Nord - Manicouagan,17,40 494,"42,0"
9,09 - Côte-Nord,0913,0913 - RLS de Port-Cartier,51,7 314,"697,3"
9,09 - Côte-Nord,0914,0914 - RLS de Sept-Îles,46,27 344,"168,2"
9,09 - Côte-Nord,0915,0915 - RLS de la Minganie,5,6 428,"77,8"
9,09 - Côte-Nord,0916,0916 - RLS de la Basse-Côte-Nord,0,4 582,"0,0"
9,09 - Côte-Nord,0917,0917 - RLS de Kawawachikamach,0,641,"0,0"
9,09 - Côte-Nord,,Total,119,90 033,"132,2"
10,10 - Nord-du-Québec,1001,1001 - Nord-du-Québec,8,13 558,"59,0"
10,10 - Nord-du-Québec,,Total,8,13 558,"59,0"
11,11 - Gaspésie-Îles-de-la-Madeleine,1111,1111 - RLS de la Baie-des-Chaleurs,135,32 176,"419,6"
11,11 - Gaspésie-Îles-de-la-Madeleine,1112,1112 - RLS de la Haute-Gaspésie,n.d.,10 582,n.d.
11,11 - Gaspésie-Îles-de-la-Madeleine,1113,1113 - RLS de La Côte-de-Gaspé,13,18 753,"69,3"
11,11 - Gaspésie-Îles-de-la-Madeleine,1114,1114 - RLS du Rocher-Percé,31,15 881,"195,2"
11,11 - Gaspésie-Îles-de-la-Madeleine,1121,1121 - RLS des Îles-de-la-Madeleine,9,12 606,"71,4"
11,11 - Gaspésie-Îles-de-la-Madeleine,,Total,191,89 998,"212,2"
12,12 - Chaudière-Appalaches,1211,1211 - RLS Alphonse-Desjardins,405,258 118,"156,9"
12,12 - Chaudière-Appalaches,1212,1212 - RLS de la région de Thetford,45,42 500,"105,9"
12,12 - Chaudière-Appalaches,1213,1213 - RLS de Beauce,53,73 173,"72,4"
12,12 - Chaudière-Appalaches,1214,1214 - RLS des Etchemins,7,16 426,"42,6"
12,12 - Chaudière-Appalaches,1215,1215 - RLS de Montmagny-L'Islet,11,40 092,"27,4"
12,12 - Chaudière-Appalaches,,Total,521,430 309,"121,1"
13,13 - Laval,1311,1311 - RLS de Laval,5835,442 745,"1 317,9"
13,13 - Laval,,Total,5835,442 745,"1 317,9"
14,14 - Lanaudière,1411,1411 - RLS de Lanaudière-Nord,1482,223 099,"664,3"
14,14 - Lanaudière,1412,1412 - RLS de Lanaudière-Sud,2700,296 993,"909,1"
14,14 - Lanaudière,,Total,4256,520 092,"818,3"
15,15 - Laurentides,1511,1511 - RLS d'Antoine-Labelle,23,35 580,"64,6"
15,15 - Laurentides,1512,1512 - RLS des Laurentides,168,48 016,"349,9"
15,15 - Laurentides,1513,1513 - RLS des Pays-d'en-Haut,239,44 362,"538,7"
15,15 - Laurentides,1514,1514 - RLS d'Argenteuil,95,33 422,"284,2"
15,15 - Laurentides,1515,1515 - RLS de Deux-Montagnes - Mirabel-Sud,679,124 641,"544,8"
15,15 - Laurentides,1516,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,1069,177 517,"602,2"
15,15 - Laurentides,1517,1517 - RLS de Thérèse-De Blainville,1239,163 430,"758,1"
15,15 - Laurentides,,Total,3520,626 968,"561,4"
16,16 - Montérégie,1611,1611 - RLS de Champlain,1840,225 442,"816,2"
16,16 - Montérégie,1612,1612 - RLS du Haut-Richelieu - Rouville,659,195 297,"337,4"
16,16 - Montérégie,1621,1621 - RLS Pierre-Boucher,2033,262 440,"774,7"
16,16 - Montérégie,1622,1622 - RLS de Richelieu-Yamaska,890,220 957,"402,8"
16,16 - Montérégie,1623,1623 - RLS Pierre-De Saurel,50,51 371,"97,3"
16,16 - Montérégie,1631,1631 - RLS de Vaudreuil-Soulanges,730,160 002,"456,2"
16,16 - Montérégie,1632,1632 - RLS du Suroît,608,60 523,"1 004,6"
16,16 - Montérégie,1633,1633 - RLS du Haut-Saint-Laurent,99,24 346,"406,6"
16,16 - Montérégie,1634,1634 - RLS de Jardins-Roussillon,1049,232 373,"451,4"
