Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;409;1,4;372,4;0;
5-9 ans;360;1,2;334,6;0;
10-19 ans;1280;4,3;643,5;0;
20-29 ans;4241;14,2;1302,6;< 5;n.p.
30-39 ans;3992;13,4;1216,3;< 5;n.p.
40-49 ans;4069;13,6;1465,8;15;*5,4
50-59 ans;3654;12,2;1424,6;69;26,9
60-69 ans;2508;8,4;1159,3;223;103,1
70-79 ans;2458;8,2;1700,9;594;411
80 ans et +;6903;23,1;6862,4;2566;2550,9
Manquant;87;;;;
Total;29961;;1450,4;3474;168,2
