No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,12,50,5,17,0,87,0.7 %
02,02 - Saguenay-Lac-Saint-Jean,0,96,110,7,98,9,320,2.4 %
03,03 - Capitale-Nationale,5,565,277,37,383,30,1297,9.7 %
04,04 - Mauricie et Centre-du-Québec,5,156,483,22,110,5,781,5.9 %
05,05 - Estrie,3,140,185,21,140,13,502,3.8 %
06,06 - Montréal,214,2792,1228,149,754,77,5214,39.1 %
07,07 - Outaouais,11,89,90,15,58,3,266,2.0 %
08,08 - Abitibi-Témiscamingue,2,7,30,2,6,0,47,0.4 %
09,09 - Côte-Nord,0,0,12,0,1,0,13,0.1 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,22,0,13,0,50,0.4 %
12,12 - Chaudière-Appalaches,5,137,186,9,151,6,494,3.7 %
13,13 - Laval,3,524,222,56,196,7,1008,7.6 %
14,14 - Lanaudière,3,294,203,18,139,4,661,5.0 %
15,15 - Laurentides,64,221,190,60,95,14,644,4.8 %
16,16 - Montérégie,16,670,650,67,523,10,1936,14.5 %
17,17 - Nunavik,0,0,9,0,0,0,9,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,5,0,0,1,6,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),334,5718,3953,468,2684,179,13336,
9999,Ensemble du Québec (%),2.5 %,42.9 %,29.6 %,3.5 %,20.1 %,1.3 %,.,100.0 %

