Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;17;22;* 20;4802;4371,7;0;;0;
5-9 ans;14;28;* 26;6325;5879,3;0;;0;
10-19 ans;20;32;* 16,1;14645;7362,4;0;;0;
20-29 ans;114;210;64,5;22672;6963,6;0;;< 5;n.p.
30-39 ans;52;106;32,3;20496;6244,7;0;;7;n.p.
40-49 ans;38;65;23,4;19822;7140,6;0;;22;* 7,9
50-59 ans;19;33;* 12,9;16269;6342,7;< 5;n.p.;105;40,9
60-69 ans;9;13;* 6;9928;4589,2;0;;331;153
70-79 ans;< 5;< 5;n.p.;6461;4471;< 5;n.p.;837;579,2
80 ans et +;< 5;< 5;n.p.;11942;11871,8;< 5;n.p.;3468;3447,6
Manquant;0;0;;92;;0;;0;
Total;289;516;25;133454;6460,6;< 5;n.p.;4773;231,1
