No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,71,6,18,0,111,0.8 %
02,02 - Saguenay-Lac-Saint-Jean,0,104,128,9,114,9,364,2.6 %
03,03 - Capitale-Nationale,5,604,323,37,429,34,1432,10.0 %
04,04 - Mauricie et Centre-du-Québec,5,157,601,22,114,5,904,6.3 %
05,05 - Estrie,3,149,197,26,158,14,547,3.8 %
06,06 - Montréal,215,2809,1307,157,771,79,5338,37.4 %
07,07 - Outaouais,11,93,108,15,61,3,291,2.0 %
08,08 - Abitibi-Témiscamingue,3,22,43,3,8,0,79,0.6 %
09,09 - Côte-Nord,0,0,38,0,1,0,39,0.3 %
10,10 - Nord-du-Québec,0,0,4,0,0,0,4,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,30,0,13,0,58,0.4 %
12,12 - Chaudière-Appalaches,5,146,230,10,167,6,564,4.0 %
13,13 - Laval,4,531,250,57,199,7,1048,7.3 %
14,14 - Lanaudière,3,307,227,22,157,5,721,5.1 %
15,15 - Laurentides,63,244,224,64,99,13,707,5.0 %
16,16 - Montérégie,16,696,697,69,553,10,2041,14.3 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,13,0,0,1,14,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),336,5890,4503,497,2862,186,14274,
9999,Ensemble du Québec (%),2.4 %,41.3 %,31.5 %,3.5 %,20.1 %,1.3 %,.,100.0 %

