,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4795,23,4773,22,64,0,4590,141,197776,2424.46,71.37,32.36,21
02,02 - Saguenay-Lac-Saint-Jean,11940,53,11716,224,275,0,11401,264,278602,4285.68,94.88,98.71,18
03,03 - Capitale-Nationale,37143,167,36784,359,1141,1,34982,1020,758366,4897.77,134.27,150.46,67
04,04 - Mauricie et Centre-du-Québec,20357,217,20118,239,580,0,18554,1223,526357.5,3867.52,232.05,110.19,71
05,05 - Estrie,22792,120,22267,525,389,1,20794,1609,499619.5,4561.87,320.71,77.86,121
06,06 - Montréal,164015,949,161031,2984,4872,1,153853,5290,2056759,7974.44,258.85,236.88,333
07,07 - Outaouais,15116,71,14672,444,223,0,14560,333,403199,3749.02,82.22,55.31,25
08,08 - Abitibi-Témiscamingue,1592,9,1559,33,13,0,1528,51,147844,1076.81,34.51,8.79,5
09,09 - Côte-Nord,850,7,827,23,5,0,830,15,90289.5,941.42,16.66,5.54,1
10,10 - Nord-du-Québec,140,0,138,2,0,0,138,2,13423.5,1042.95,14.95,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2376,3,2353,23,48,0,2300,28,90727,2618.85,30.85,52.91,2
12,12 - Chaudière-Appalaches,26553,284,26281,272,387,0,24766,1400,433504,6125.20,322.41,89.27,111
13,13 - Laval,40244,156,38268,1976,942,1,38150,1152,443929,9065.41,258.75,212.20,108
14,14 - Lanaudière,30381,199,29670,711,537,0,28726,1118,527366.5,5760.89,210.80,101.83,112
15,15 - Laurentides,29106,93,28501,605,534,1,27433,1139,635711,4578.50,178.02,84.00,160
16,16 - Montérégie,64504,374,62585,1919,1609,0,60351,2544,1445165.5,4463.43,175.34,111.34,144
17,17 - Nunavik,1059,0,1055,4,2,0,1026,31,14493,7306.98,211.97,13.80,3
18,18 - Terres-Cries-de-la-Baie-James,150,3,150,0,5,0,140,5,18505,810.59,26.79,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1361,8,1354,7,1,0,1325,35,.,.,.,.,3
999,Ensemble du Québec,474478,2736,464105,10373,11627,5,445451,17400,8581637,5528.99,202.59,135.49,1305

