Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;8;178;162,1;5464;4974,4;0;;0;
5-9 ans;18;386;358,8;7517;6987,4;0;;0;
10-19 ans;15;398;200,1;16390;8239,7;0;;0;
20-29 ans;9;356;109,3;25556;7849,4;0;;< 5;n.p.
30-39 ans;26;415;126,4;22593;6883,6;0;;7;n.p.
40-49 ans;19;357;128,6;21338;7686,7;0;;24;* 8,6
50-59 ans;10;219;85,4;17184;6699,4;< 5;n.p.;107;41,7
60-69 ans;7;121;55,9;10397;4806;< 5;n.p.;334;154,4
70-79 ans;5;86;59,5;6749;4670,3;< 5;n.p.;842;582,7
80 ans et +;< 5;68;67,6;12157;12085,6;13;* 12,9;3486;3465,5
Manquant;< 5;< 5;;96;;0;;0;
Total;119;2587;125,2;145441;7040,9;18;* 0,9;4803;232,5
