RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,173,0,0,2,175,,,,
02 - Saguenay–Lac-Saint-Jean,121,0,2,0,123,,,,
03 - Capitale-Nationale,649,3,10,4,666,,,,
04 - Mauricie et Centre-du-Québec,112,0,1,29,142,,,,
05 - Estrie,98,0,17,3,118,,,,
06 - Montréal,3335,136,252,117,3840,,,,
07 - Outaouais,491,16,35,13,555,,,,
08 - Abitibi-Témiscamingue,0,177,0,0,177,,,,
09 - Côte-Nord,10,0,0,0,10,,,,
10 - Nord-du-Québec,0,1,0,0,1,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,,,,
12 - Chaudière-Appalaches,559,2,12,0,573,,,,
13 - Laval,436,13,18,16,483,,,,
14 - Lanaudière,302,33,13,5,353,,,,
15 - Laurentides,500,30,53,6,589,,,,
16 - Montérégie,367,25,138,42,572,,,,
Inconnu,0,1,0,0,1,,,,
Hors Québec,50,9,3,7,69,,,,
Ensemble du Québec,7211,446,554,244,8455,,,,
