,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,3349,63,3328,21,39,0,2894,416,196934.5,1700.57,211.39,19.80
02,02 - Saguenay-Lac-Saint-Jean,10434,31,10220,214,266,0,9984,184,277505,3759.93,66.34,95.85
03,03 - Capitale-Nationale,31779,74,31428,351,1094,0,29882,803,757803,4193.57,105.64,144.36
04,04 - Mauricie et Centre-du-Québec,14506,38,14268,238,513,1,13625,368,523331.5,2771.86,70.19,98.03
05,05 - Estrie,13697,86,13187,510,334,0,12809,554,494966.5,2767.26,111.52,67.48
06,06 - Montréal,127142,204,124221,2921,4688,1,119983,2471,2072060.5,6136.02,118.89,226.25
07,07 - Outaouais,11616,58,11168,448,205,3,11066,345,402744,2884.21,85.30,50.90
08,08 - Abitibi-Témiscamingue,1101,2,1068,33,9,0,1089,3,147637,745.75,2.03,6.10
09,09 - Côte-Nord,547,3,529,18,3,0,512,32,89700.5,609.81,35.81,3.34
10,10 - Nord-du-Québec,94,0,92,2,0,0,93,1,13521.5,695.19,7.42,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1887,14,1868,19,45,0,1786,56,89823,2100.80,62.47,50.10
12,12 - Chaudière-Appalaches,17662,123,17385,277,330,2,16339,993,431109.5,4096.87,229.91,76.55
13,13 - Laval,30270,78,28494,1776,903,0,28760,607,444658.5,6807.47,135.92,203.08
14,14 - Lanaudière,23316,23,22605,711,510,0,22440,366,522367,4463.53,69.76,97.63
15,15 - Laurentides,20073,30,19468,605,499,0,19272,302,630238,3184.99,47.67,79.18
16,16 - Montérégie,49155,131,47211,1944,1540,0,46479,1136,1438226,3417.75,78.69,107.08
17,17 - Nunavik,46,0,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,9,1,9,0,0,0,3,6,.,.,.,.
99,Hors Québec,372,-1,367,5,0,0,360,12,.,.,.,.
999,Ensemble du Québec,357174,958,347079,10095,10981,7,337538,8655,8565469.5,4169.93,100.73,128.20

