RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,72,0,0,0,72,1020,518.31,91.4,94.3
02 - Saguenay–Lac-Saint-Jean,20,0,0,0,20,520,187.47,93,85.6
03 - Capitale-Nationale,255,2,1,7,265,7198,946.92,97.3,90.9
04 - Mauricie et Centre-du-Québec,39,0,0,0,39,942,179.66,88.8,94.3
05 - Estrie,80,0,2,0,82,1291,259.88,96.1,94.6
06 - Montréal,2375,41,19,12,2447,9790,471.02,80.1,89.1
07 - Outaouais,347,4,3,6,360,3079,761.27,93.9,94.9
08 - Abitibi-Témiscamingue,0,143,0,0,143,238,161.18,50,100
09 - Côte-Nord,5,0,0,0,5,126,140.99,94.1,81.3
10 - Nord-du-Québec,0,0,0,0,0,2,14.83,.,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,75,83.66,100,84.2
12 - Chaudière-Appalaches,146,0,3,0,149,2458,569.10,92.6,87.4
13 - Laval,270,8,0,5,283,2402,537.88,79.4,89
14 - Lanaudière,206,5,1,6,218,1235,235.40,82.4,87
15 - Laurentides,250,7,6,3,266,1868,294.87,83.4,96.5
16 - Montérégie,149,5,27,1,182,2938,203.50,77.6,86.7
Inconnu,0,1,0,0,1,707,,100,100
Hors Québec,15,1,0,1,17,65,,100,100
Ensemble du Québec,4229,217,62,41,4549,35954,418.47,86.1,90
