Régions sociosanitaires;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;32;49;23;66;45;63;3 349
02 - Saguenay – Lac-Saint-Jean;8;19;16;31;22;31;10 434
03 - Capitale-Nationale;84;75;89;67;56;74;31 779
04 - Mauricie-et-Centre-du-Québec;26;37;46;38;65;38;14 506
05 - Estrie;47;48;53;55;70;86;13 697
06 - Montréal;206;190;255;212;194;204;127 142
07 - Outaouais;15;32;59;37;33;58;11 616
08 - Abitibi-Témiscamingue;0;0;1;0;0;2;1 101
09 - Côte-Nord;5;5;1;3;7;3;547
10 - Nord-du-Québec;0;0;0;0;0;0;94
11 - Gaspésie – Îles-de-la-Madeleine;4;5;10;4;11;14;1 887
12 - Chaudière-Appalaches;99;121;120;107;137;123;17 662
13 - Laval;88;62;57;75;55;78;30 270
14 - Lanaudière;35;33;34;38;40;23;23 316
15 - Laurentides;32;36;60;51;37;30;20 073
16 - Montérégie;116;83;88;120;140;131;49 155
17 - Nunavik;0;0;-1;0;0;0;46
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;119
Hors Québec;1;2;4;3;2;-1;372
Région à déterminer;0;0;0;0;5;1;9
Total;798;797;915;907;919;958;357 174
