Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;12117
02 - Saguenay – Lac-Saint-Jean;14233
03 - Capitale-Nationale;41963
04 - Mauricie-et-Centre-du-Québec;26441
05 - Estrie;21168
06 - Montréal;134 781
07 - Outaouais;13306
08 - Abitibi-Témiscamingue;10418
09 - Côte-Nord;17 634
10 - Nord-du-Québec;8213
11 - Gaspésie – Îles-de-la-Madeleine;9890
12 - Chaudière-Appalaches;21581
13 - Laval;19985
14 - Lanaudière;22830
15 - Laurentides;23008
16 - Montérégie;58797
17 - Nunavik;4696
18 - Terres-Cries-de-la-Baie-James;10135
Inconnu;1514
Total;472 710
