No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,7,4,4,7,0,25,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,75,70,2,80,8,236,2.7 %
3,03 - Capitale-Nationale,3,406,105,9,227,19,769,8.8 %
4,04 - Mauricie et Centre-du-Québec,6,127,139,20,89,5,386,4.4 %
5,05 - Estrie,1,103,28,11,60,9,212,2.4 %
6,06 - Montréal,199,2592,498,114,525,55,3983,45.6 %
7,07 - Outaouais,7,46,31,11,37,1,133,1.5 %
8,08 - Abitibi-Témiscamingue,0,0,4,0,1,0,5,0.1 %
9,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,16,0,13,0,43,0.5 %
12,12 - Chaudière-Appalaches,5,81,50,6,60,4,206,2.4 %
13,13 - Laval,2,476,98,50,154,6,786,9.0 %
14,14 - Lanaudière,3,231,84,7,90,2,417,4.8 %
15,15 - Laurentides,60,138,69,35,68,12,382,4.4 %
16,16 - Montérégie,13,522,218,48,335,13,1149,13.2 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),303,4818,1418,317,1746,135,8737,
9999,Ensemble du Québec (%),3.5 %,55.1 %,16.2 %,3.6 %,20.0 %,1.5 %,           .,100.0 %
