Regions;Number of administered doses of the vaccine
01-   Bas-Saint-Laurent;2534
02 - Saguenay – Lac-Saint-Jean;3537
03 - Capitale-Nationale;10793
04 - Mauricie-et-Centre-du-Québec;4321
05 - Estrie;3387
06 - Montréal;26263
07 - Outaouais;3581
08 - Abitibi-Témiscamingue;1742
09 - Côte-Nord;1729
10 - Nord-du-Québec;106
11 - Gaspésie – Îles-de-la-Madeleine;2414
11 - Îles-de-la-Madeleine;301
12 - Chaudière-Appalaches;4286
13 - Laval;3874
14 - Lanaudière;3870
15 - Laurentides;4335
16 - Montérégie;13400
18 - Terres-Cries-de-la-Baie-James;1158
Opitciwan;540
Wemotaci;281
Total;92452
