RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,165,0,0,0,165,1219,619.43,50,57.1
02 - Saguenay–Lac-Saint-Jean,60,0,2,0,62,950,342.49,100,98.5
03 - Capitale-Nationale,622,3,8,0,633,7910,"1,040.59",98.8,86.1
04 - Mauricie et Centre-du-Québec,94,0,0,1,95,1333,254.23,77.6,81.6
05 - Estrie,92,0,15,1,108,2322,467.42,98,95.9
06 - Montréal,3219,107,181,16,3523,13705,659.38,89.7,88.4
07 - Outaouais,448,16,33,0,497,3747,926.43,100,95.6
08 - Abitibi-Témiscamingue,0,177,0,0,177,245,165.92,0,.
09 - Côte-Nord,6,0,0,0,6,149,166.73,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,7,0,0,0,7,173,192.98,76.9,100
12 - Chaudière-Appalaches,439,2,11,0,452,3351,775.86,91.6,80.2
13 - Laval,412,13,18,1,444,3100,694.18,96.6,91.8
14 - Lanaudière,271,28,11,0,310,1648,314.12,89.4,93.2
15 - Laurentides,427,14,47,0,488,2448,386.42,89.2,85.7
16 - Montérégie,312,15,116,7,450,4207,291.40,90.7,87
Inconnu,0,1,0,0,1,718,,50,100
Hors Québec,47,9,2,2,60,89,,40,50
Ensemble du Québec,6621,386,444,28,7479,47330,550.87,"91,4","88,9"
