No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,65,5,18,0,104,0.7 %
02,02 - Saguenay-Lac-Saint-Jean,0,103,123,8,110,9,353,2.5 %
03,03 - Capitale-Nationale,5,591,308,37,409,33,1383,9.9 %
04,04 - Mauricie et Centre-du-Québec,5,157,552,22,114,5,855,6.1 %
05,05 - Estrie,3,148,194,25,154,14,538,3.8 %
06,06 - Montréal,215,2803,1291,155,768,79,5311,37.9 %
07,07 - Outaouais,11,93,104,15,61,3,287,2.0 %
08,08 - Abitibi-Témiscamingue,3,14,40,2,6,0,65,0.5 %
09,09 - Côte-Nord,0,0,29,0,1,0,30,0.2 %
10,10 - Nord-du-Québec,0,0,2,0,0,0,2,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,27,0,13,0,55,0.4 %
12,12 - Chaudière-Appalaches,5,144,211,10,160,6,536,3.8 %
13,13 - Laval,4,530,250,57,199,7,1047,7.5 %
14,14 - Lanaudière,3,310,224,21,156,5,719,5.1 %
15,15 - Laurentides,63,238,219,64,99,13,696,5.0 %
16,16 - Montérégie,16,688,677,69,550,10,2010,14.3 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,12,0,0,1,13,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),336,5847,4340,490,2818,185,14016,
9999,Ensemble du Québec (%),2.4 %,41.7 %,31.0 %,3.5 %,20.1 %,1.3 %,.,100.0 %

