,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,14855,96,14816,39,104,2,13832,919,197738.33333,7512.45,464.93,52.59,78
02,02 - Saguenay-Lac-Saint-Jean,24187,61,23828,359,353,1,23198,636,278600,8681.62,228.29,126.70,51
03,03 - Capitale-Nationale,73665,201,73300,365,1383,4,70245,2037,761103.66667,9678.71,265.73,181.71,124
04,04 - Mauricie et Centre-du-Québec,48386,100,48146,240,855,3,46390,1141,527666.66667,9169.80,215.17,162.03,88
05,05 - Estrie,41729,73,41204,525,538,1,40685,506,502406,8305.83,99.61,107.08,57
06,06 - Montréal,281033,277,277674,3359,5311,0,273080,2642,2061667.3333,13631.35,127.54,257.61,243
07,07 - Outaouais,35343,52,34898,445,287,0,34539,517,405378.66667,8718.52,126.18,70.80,40
08,08 - Abitibi-Témiscamingue,7500,41,7461,39,65,0,7152,283,147876.33333,5071.81,191.29,43.96,26
09,09 - Côte-Nord,5378,84,5351,27,30,0,4839,509,90082.333333,5970.09,567.65,33.30,23
10,10 - Nord-du-Québec,1008,7,822,186,2,0,992,14,13383.666667,7531.57,105.23,14.94,9
11,11 - Gaspésie-Îles-de-la-Madeleine,5403,40,5367,36,55,1,5085,263,90783.333333,5951.53,289.34,60.58,27
12,12 - Chaudière-Appalaches,52095,135,51813,282,536,3,50329,1230,434525.66667,11988.94,281.74,123.35,83
13,13 - Laval,65870,54,63908,1962,1047,3,64293,530,445993.33333,14769.28,117.75,234.76,60
14,14 - Lanaudière,62422,55,61706,716,719,1,60941,762,530581,11764.84,141.90,135.51,22
15,15 - Laurentides,69101,134,68494,607,696,0,67163,1242,640046.66667,10796.24,191.45,108.74,104
16,16 - Montérégie,128881,183,126976,1905,2010,0,125047,1824,1452381.3333,8873.77,124.35,138.39,186
17,17 - Nunavik,2699,6,2695,4,10,0,2629,60,14619,18462.28,403.47,68.40,9
18,18 - Terres-Cries-de-la-Baie-James,2154,27,1926,228,13,1,2059,82,18660.333333,11543.20,432.24,69.67,-2
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,2596,4,2588,8,2,0,2571,23,.,.,.,.,0
999,Ensemble du Québec,924309,1630,912976,11333,14016,20,895073,15220,8613493.6667,10730.94,175.40,162.72,1228

