Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;12;240;218,5;5318;4841,5;0;;0;
5-9 ans;33;387;359,7;7187;6680,6;0;;0;
10-19 ans;32;437;219,7;16020;8053,7;0;;0;
20-29 ans;42;705;216,5;25270;7761,6;0;;< 5;n.p.
30-39 ans;35;584;177,9;22233;6774;0;;7;n.p.
40-49 ans;47;461;166,1;21050;7583;0;;24;* 8,6
50-59 ans;21;273;106,4;17003;6628,8;< 5;n.p.;107;41,7
60-69 ans;7;146;67,5;10300;4761,2;< 5;n.p.;334;154,4
70-79 ans;7;109;75,4;6676;4619,8;0;;839;580,6
80 ans et +;< 5;101;100,4;12092;12021;8;n.p.;3476;3455,6
Manquant;-2;0;;94;;0;;0;
Total;237;3443;166,7;143243;6934,5;12;* 0,6;4790;231,9
