RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,483,245.43
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,66,23.79
03 - Capitale-Nationale,51,1,0,0,52,3843,505.56
04 - Mauricie et Centre-du-Québec,3,0,0,0,3,231,44.06
05 - Estrie,24,0,0,0,24,275,55.36
06 - Montréal,983,7,1,5,996,5024,241.72
07 - Outaouais,39,0,0,5,44,1186,293.23
08 - Abitibi-Témiscamingue,0,128,0,0,128,208,140.87
09 - Côte-Nord,0,0,0,0,0,21,23.50
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,2,2.23
12 - Chaudière-Appalaches,12,0,0,0,12,974,225.51
13 - Laval,98,3,0,1,102,1087,243.41
14 - Lanaudière,58,5,0,0,63,451,85.96
15 - Laurentides,101,6,1,0,108,710,112.07
16 - Montérégie,49,3,0,0,52,1006,69.68
Inconnu,0,1,0,0,1,580,
Hors Québec,12,0,0,1,13,26,
Ensemble du Québec,1430,154,2,12,1598,16173,188.24
