"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;44077
02 - Saguenay - Lac-Saint-Jean;61389
03 - Capitale-Nationale;154017
04 - Mauricie et Centre-du-Québec;111694
05 - Estrie;93312
06 - Montréal;545866
07 - Outaouais;78424
08 - Abitibi-Témiscamingue;27990
09 - Côte-Nord;33153
10 - Nord-du-Québec;9337
11 - Gaspésie - Îles-de-la-Madeleine;33638
12 - Chaudière-Appalaches;84823
13 - Laval;95718
14 - Lanaudière;103923
15 - Laurentides;114932
16 - Montérégie;275071
17 - Nunavik;6056
18 - Terres-Cries-de-la-Baie-James;14882
Inconnue;2174
Total;1890476
