No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,8,10,4,9,0,34,0.3 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,75,4,85,8,266,2.5 %
03,03 - Capitale-Nationale,3,510,159,28,309,24,1033,9.6 %
04,04 - Mauricie et Centre-du-Québec,6,151,221,21,103,5,507,4.7 %
05,05 - Estrie,3,125,58,17,109,11,323,3.0 %
06,06 - Montréal,202,2726,832,132,678,74,4644,43.2 %
07,07 - Outaouais,8,74,39,13,42,2,178,1.7 %
08,08 - Abitibi-Témiscamingue,0,0,8,0,1,0,9,0.1 %
09,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,17,0,13,0,45,0.4 %
12,12 - Chaudière-Appalaches,5,104,71,6,103,4,293,2.7 %
13,13 - Laval,2,509,138,53,184,5,891,8.3 %
14,14 - Lanaudière,3,246,122,12,118,2,503,4.7 %
15,15 - Laurentides,64,176,107,50,81,14,492,4.6 %
16,16 - Montérégie,15,613,360,61,460,9,1518,14.1 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,2,0,0,1,3,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),314,5351,2222,401,2295,159,10742,
9999,Ensemble du Québec (%),2.9 %,49.8 %,20.7 %,3.7 %,21.4 %,1.5 %,.,100.0 %

