Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;4994
02 - Saguenay – Lac-Saint-Jean;8187
03 - Capitale-Nationale;23919
04 - Mauricie-et-Centre-du-Québec;12658
05 - Estrie;11166
06 - Montréal;54787
07 - Outaouais;8458
08 - Abitibi-Témiscamingue;5533
09 - Côte-Nord;6929
10 - Nord-du-Québec;4805
11 - Gaspésie – Îles-de-la-Madeleine;5081
11 - Îles-de-la-Madeleine;1272
12 - Chaudière-Appalaches;10817
13 - Laval;9691
14 - Lanaudière;10343
15 - Laurentides;12618
16 - Montérégie;35099
17 - Nunavik;882
18 - Terres-Cries-de-la-Baie-James;9212
Opitciwan;600
Wemotaci;389
Manawan;787
Total;238 227
