No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,59,5,18,0,98,0.7 %
02,02 - Saguenay-Lac-Saint-Jean,0,102,118,7,103,9,339,2.4 %
03,03 - Capitale-Nationale,5,587,304,37,408,31,1372,9.8 %
04,04 - Mauricie et Centre-du-Québec,5,157,548,22,114,5,851,6.1 %
05,05 - Estrie,3,148,194,24,153,14,536,3.8 %
06,06 - Montréal,215,2801,1287,154,768,79,5304,38.1 %
07,07 - Outaouais,11,93,103,15,61,3,286,2.1 %
08,08 - Abitibi-Témiscamingue,3,13,36,2,6,0,60,0.4 %
09,09 - Côte-Nord,0,0,25,0,1,0,26,0.2 %
10,10 - Nord-du-Québec,0,0,2,0,0,0,2,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,26,0,13,0,54,0.4 %
12,12 - Chaudière-Appalaches,5,142,205,10,159,6,527,3.8 %
13,13 - Laval,4,529,245,57,199,7,1041,7.5 %
14,14 - Lanaudière,3,310,223,21,154,5,716,5.1 %
15,15 - Laurentides,63,233,218,65,101,13,693,5.0 %
16,16 - Montérégie,16,686,675,69,546,10,2002,14.4 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,11,0,0,1,12,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),336,5829,4291,488,2804,183,13931,
9999,Ensemble du Québec (%),2.4 %,41.8 %,30.8 %,3.5 %,20.1 %,1.3 %,.,100.0 %

