Régions sociosanitaires;2021-05-09;2021-05-10;2021-05-11;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;57;55;28;3 537
02 - Saguenay – Lac-Saint-Jean;21;19;28;10 521
03 - Capitale-Nationale;48;38;60;31 987
04 - Mauricie-et-Centre-du-Québec;26;36;47;14 659
05 - Estrie;43;58;39;13 914
06 - Montréal;189;168;205;127 986
07 - Outaouais;21;27;43;11 743
08 - Abitibi-Témiscamingue;1;2;0;1 105
09 - Côte-Nord;2;6;-1;554
10 - Nord-du-Québec;4;0;1;100
11 - Gaspésie – Îles-de-la-Madeleine;11;7;3;1 919
12 - Chaudière-Appalaches;71;80;94;18 019
13 - Laval;61;45;61;30 491
14 - Lanaudière;12;15;22;23 392
15 - Laurentides;32;29;43;20 224
16 - Montérégie;62;73;68;49 496
17 - Nunavik;0;0;0;46
18 - Terres-Cries-de-la-Baie-James;0;0;0;119
Hors Québec;1;2;4;380
Région à déterminer;0;0;0;9
Total;662;660;745;360 201
