RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,121,0,0,0,121,1047,532.03,"88,6","87,1"
02 - Saguenay–Lac-Saint-Jean,21,0,0,0,21,586,211.26,"95,5","89,1"
03 - Capitale-Nationale,392,2,1,16,411,7386,971.65,"96,9","89,9"
04 - Mauricie et Centre-du-Québec,40,0,0,0,40,1059,201.98,"98,2","93,1"
05 - Estrie,85,0,8,0,93,1505,302.96,"97,2","93,7"
06 - Montréal,2614,67,53,23,2757,10406,500.66,"81,1","89,1"
07 - Outaouais,376,5,7,6,394,3169,783.52,"92,6","100,0"
08 - Abitibi-Témiscamingue,0,146,0,0,146,238,161.18,"25,0","100,0"
09 - Côte-Nord,5,0,0,0,5,141,157.77,"94,4","88,2"
10 - Nord-du-Québec,0,0,0,0,0,2,14.83,.,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,96,107.09,"96,2","60,0"
12 - Chaudière-Appalaches,173,0,5,0,178,2712,627.91,"94,1","88,0"
13 - Laval,309,12,3,7,331,2564,574.15,"87,2","93,0"
14 - Lanaudière,226,12,2,7,247,1313,250.27,"89,4","94,4"
15 - Laurentides,295,8,16,8,327,1978,312.23,"85,0","91,2"
16 - Montérégie,172,8,41,3,224,3167,219.37,"80,0","84,3"
Inconnu,0,1,0,0,1,710,,"75,0","100,0"
Hors Québec,16,2,0,1,19,68,,"100,0","75,0"
Ensemble du Québec,4845,263,136,71,5315,38147,443.99,"88,3","90,0"
