,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20475,26,20436,39,170,1,19914,391,197738.33333,10354.59,197.81,85.97,39,828,2
02,02 - Saguenay-Lac-Saint-Jean,30048,29,29687,361,436,2,29184,428,278600,10785.36,153.63,156.50,45,1588,6
03,03 - Capitale-Nationale,87744,50,87383,361,1541,0,85090,1113,761103.66667,11528.52,145.19,202.47,77,4202,9
04,04 - Mauricie et Centre-du-Québec,58487,33,58247,240,998,0,56688,801,527666.66667,11084.08,151.05,189.13,78,3133,7
05,05 - Estrie,49243,64,48719,524,618,4,47723,902,502406,9801.44,177.57,123.01,70,2713,26
06,06 - Montréal,306969,162,303608,3361,5469,2,298791,2709,2061667.3333,14889.36,130.78,265.27,198,15955,27
07,07 - Outaouais,39491,17,39046,445,312,2,38821,358,405378.66667,9741.76,87.37,76.97,31,1812,3
08,08 - Abitibi-Témiscamingue,10786,13,10745,41,110,0,10555,121,147876.33333,7293.93,81.79,74.39,19,618,2
09,09 - Côte-Nord,8391,9,8365,26,46,0,8094,251,90082.333333,9314.81,279.92,51.06,36,484,1
10,10 - Nord-du-Québec,1472,2,1243,229,4,0,1457,11,13383.666667,10998.48,82.68,29.89,6,52,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8930,10,8893,37,82,0,8709,139,90783.333333,9836.61,152.92,90.32,15,426,1
12,12 - Chaudière-Appalaches,60862,26,60579,283,657,1,59680,525,434525.66667,14006.54,120.26,151.20,44,2506,4
13,13 - Laval,71068,22,69107,1961,1103,0,69555,410,445993.33333,15934.77,91.09,247.31,50,3207,4
14,14 - Lanaudière,69346,37,68630,716,767,1,68038,541,530581,13069.82,100.74,144.56,50,2772,6
15,15 - Laurentides,78718,37,78112,606,754,0,77005,959,640046.66667,12298.79,147.83,117.80,71,3663,5
16,16 - Montérégie,147828,81,145915,1913,2204,1,143884,1740,1452381.3333,10178.32,118.62,151.75,147,7959,8
17,17 - Nunavik,3000,2,2994,6,10,0,2968,22,14619,20521.24,147.94,68.40,2,111,1
18,18 - Terres-Cries-de-la-Baie-James,2928,7,2530,398,15,0,2874,39,18660.333333,15691.04,205.58,80.38,1,95,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,372,-1
99,Hors Québec,2905,-2,2897,8,2,0,2881,22,.,.,.,.,-1,0,0
999,Ensemble du Québec,1058691,625,1047136,11555,15298,14,1031911,11482,8613493.6667,12291.08,132.32,177.61,978,52496,111

