Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;6;62;56,4;9582;8723,4;0;;0;
5-9 ans;8;69;64,1;14854;13807,4;0;;0;
10-19 ans;40;292;146,8;30116;15140,1;0;;0;
20-29 ans;169;1244;382,1;56940;17488,8;0;;5;n.p.
30-39 ans;160;986;300,4;51046;15552,7;0;;10;* 3
40-49 ans;100;722;260,1;43814;15783,4;0;;33;* 11,9
50-59 ans;72;503;196,1;33369;13009,4;< 5;n.p.;145;56,5
60-69 ans;38;258;119,3;19225;8886,7;< 5;n.p.;392;181,2
70-79 ans;38;203;140,5;11271;7799,6;5;n.p.;951;658,1
80 ans et +;22;213;211,7;17794;17689,5;27;* 26,8;3808;3785,6
Manquant;0;< 5;;188;;0;;0;
Total;653;4553;220,4;288199;13951,9;36;* 1,7;5344;258,7
