,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,17020,138,16981,39,118,0,15676,1226,197738.33333,8607.33,620.25,59.67,57,555,8
02,02 - Saguenay-Lac-Saint-Jean,26270,142,25909,361,369,0,24807,1094,278600,9429.29,392.68,132.45,65,1244,8
03,03 - Capitale-Nationale,78846,401,78485,361,1448,1,74454,2944,761103.66667,10359.43,384.04,190.25,143,3445,19
04,04 - Mauricie et Centre-du-Québec,51684,211,51444,240,913,2,48963,1808,527666.66667,9794.82,340.95,173.03,96,2550,17
05,05 - Estrie,43955,170,43430,525,549,0,42238,1168,502406,8748.90,229.93,109.27,53,2119,9
06,06 - Montréal,288199,653,284836,3363,5344,3,278538,4317,2061667.3333,13978.93,208.40,259.21,204,14441,17
07,07 - Outaouais,36484,89,36039,445,293,0,35610,581,405378.66667,8999.98,141.80,72.28,25,1516,0
08,08 - Abitibi-Témiscamingue,9007,87,8966,41,82,0,8260,665,147876.33333,6090.90,449.50,55.45,36,484,6
09,09 - Côte-Nord,6767,71,6741,26,40,1,6055,672,90082.333333,7512.02,749.43,44.40,25,356,3
10,10 - Nord-du-Québec,1190,5,981,209,4,0,1169,17,13383.666667,8891.43,127.78,29.89,3,36,0
11,11 - Gaspésie-Îles-de-la-Madeleine,7261,118,7225,36,60,0,6286,915,90783.333333,7998.16,1006.64,66.09,107,290,3
12,12 - Chaudière-Appalaches,55768,225,55485,283,571,0,53206,1991,434525.66667,12834.22,456.06,131.41,101,1982,7
13,13 - Laval,67196,108,65233,1963,1055,1,65456,685,445993.33333,15066.59,152.18,236.55,36,2827,4
14,14 - Lanaudière,64377,166,63661,716,726,1,62608,1043,530581,12133.30,194.22,136.83,64,2360,11
15,15 - Laurentides,71872,288,71265,607,710,0,69765,1397,640046.66667,11229.18,215.35,110.93,64,2978,11
16,16 - Montérégie,134016,421,132105,1911,2057,3,129063,2896,1452381.3333,9227.33,197.43,141.63,113,6465,25
17,17 - Nunavik,2824,2,2820,4,10,0,2768,46,14619,19317.33,309.33,68.40,5,85,0
18,18 - Terres-Cries-de-la-Baie-James,2292,18,1920,372,14,0,2099,179,18660.333333,12282.74,943.55,75.03,4,69,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0,348,1
99,Hors Québec,2737,6,2729,8,2,0,2691,44,.,.,.,.,5,0,0
999,Ensemble du Québec,967769,3319,956258,11511,14365,12,929716,23688,8613493.6667,11235.50,272.99,166.77,1206,44150,149

